fleet,case,gamma,investor,node,hour,p_charge_mw,p_discharge_mw,net_injection_mw
final_gamma1e4,hard_min_norm,,I3,N3,19,-9.577350714549946e-09,0.02504888913933277,0.025048898716683483
final_gamma1e4,hard_min_norm,,I4,N3,19,-9.577301604701255e-09,0.11352098783187185,0.11352099740917346
final_gamma1e4,hard_min_norm,,I1,N3,20,-9.577280179108773e-09,0.18783058668758468,0.18783059626486487
final_gamma1e4,hard_min_norm,,I2,N3,20,-9.577283312052484e-09,0.15755869413754744,0.15755870371483074
final_gamma1e4,hard_min_norm,,I3,N3,20,-9.57742153740401e-09,0.019981354788032583,0.01998136436545412
final_gamma1e4,hard_min_norm,,I4,N3,20,-9.577316088663943e-09,0.09063715795432707,0.09063716753164316
final_gamma1e4,hard_min_norm,,I1,N3,21,-9.577285436256043e-09,0.16419368485519154,0.16419369443247697
final_gamma1e4,hard_min_norm,,I2,N3,21,-9.57728952834e-09,0.137845865313905,0.13784587489119451
final_gamma1e4,hard_min_norm,,I3,N3,21,-9.57746880596393e-09,0.017537178248525652,0.01753718782599446
final_gamma1e4,hard_min_norm,,I4,N3,21,-9.577326154077991e-09,0.07948236453223598,0.07948237410956213
final_gamma1e4,hard_min_norm,,I1,N3,22,-9.57728903940618e-09,0.15097704627702235,0.1509770558543114
final_gamma1e4,hard_min_norm,,I2,N3,22,-9.57729379232453e-09,0.12680237634319208,0.12680238592048587
final_gamma1e4,hard_min_norm,,I3,N3,22,-9.577501520094983e-09,0.016151500365383965,0.016151509942885486
final_gamma1e4,hard_min_norm,,I4,N3,22,-9.577333116270794e-09,0.07323014839057963,0.07323015796791275
final_gamma1e4,hard_min_norm,,I1,N3,23,-9.577291396910815e-09,0.1433571488791769,0.1433571584564683
final_gamma1e4,hard_min_norm,,I2,N3,23,-9.577296594804028e-09,0.1204058872555209,0.1204058968328175
final_gamma1e4,hard_min_norm,,I3,N3,23,-9.577523670578367e-09,0.015325851959688826,0.015325861537212496
final_gamma1e4,hard_min_norm,,I4,N3,23,-9.577337759042819e-09,0.0695715637686333,0.06957157334597106
final_gamma1e4,hard_min_norm,,I1,N3,24,-9.577292811065421e-09,0.13913945893737678,0.1391394685146696
final_gamma1e4,hard_min_norm,,I2,N3,24,-9.577298278754972e-09,0.11685790932640513,0.11685791890370341
final_gamma1e4,hard_min_norm,,I3,N3,24,-9.577537338247741e-09,0.014855676663029307,0.014855686240566645
final_gamma1e4,hard_min_norm,,I4,N3,24,-9.577340575172253e-09,0.0675261988724001,0.06752620844974068
final_gamma1e4,hard_min_norm,,I1,N4,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N4,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N4,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N4,1,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N4,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N4,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N4,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N4,2,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N4,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N4,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N4,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N4,3,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N4,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N4,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N4,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N4,4,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N4,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N4,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N4,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N4,5,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N4,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I2,N4,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I3,N4,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I4,N4,6,0.0,0.0,0.0
final_gamma1e4,hard_min_norm,,I1,N4,7,0.0,0.0,0.0
